head	relation	tail
Nitrofurantoin	binds	ydbK
Zinc acetate	binds	CFB
Vanzacaftor	binds	ORM1
Oxycodone	binds	ORM1
Pitolisant	binds	ALB
Cabergoline	binds	ADRB2
Flavin adenine dinucleotide	binds	cry
Magnesium	binds	TRPM7
Ferrous fumarate	binds	CP
Zinc	binds	F2
Ranolazine	binds	ORM1
Zinc	binds	CFH
Ketamine	binds	CHRM1
Ferrous gluconate	binds	HBA1
Maprotiline	binds	ORM1
Valproic acid	binds	ODC1
Estradiol acetate	binds	SLCO4A1
Secobarbital	binds	GABRA4
Iron	binds	TF
Zinc sulfate, unspecified form	binds	TPI1
Carvedilol	binds	NPPB
Prucalopride	binds	ALB
Ferric cation	binds	TF
Ketoconazole	binds	SHBG
Lamivudine	binds	ABCC2
Valganciclovir	binds	SLC6A14
Repaglinide	binds	ALB
Flavin adenine dinucleotide	binds	dmg
Trimipramine	binds	HTR1D
Spaglumic acid	binds	FOLH1
Opium	binds	B2M
Flavin mononucleotide	binds	pdxH
Ascorbic acid	binds	TMLHE
Zinc sulfate, unspecified form	binds	KRT9
Cocarboxylase	binds	por
Estetrol	binds	ALB
Ledipasvir	binds	ABCG2
Loxapine	binds	HTR1E
Inavolisib	binds	PIK3CA
Cholic Acid	binds	cbh
Lithium citrate	binds	GRIA3
Ferrous fumarate	binds	FXN
Norgestimate	binds	ALB
Imipramine	binds	DRD1
Niacin	binds	NNMT
Levonorgestrel	binds	AR
Zinc sulfate, unspecified form	binds	MDM2
Zinc sulfate, unspecified form	binds	APLP2
Abiraterone	binds	ORM1
Zinc acetate	binds	APCS
Estetrol	binds	ORM1
Solriamfetol	binds	SLC6A2
Zinc sulfate, unspecified form	binds	BRCC3
Bepridil	binds	CALM1
Zinc acetate	binds	IGFALS
Acenocoumarol	binds	ORM1
Zinc acetate	binds	ENO1
Ondansetron	binds	HTR1A
Rifamycin	binds	rpoC
Levothyroxine	binds	ITGAV
Calcium citrate	binds	CANX
Enoxaparin	binds	MPO
Alfuzosin	binds	ALB
Gliclazide	binds	ALB
Levothyroxine	binds	ITGB3
Etretinate	binds	CRABP1
Interferon alfa-2a	binds	IFNAR2
Loxapine	binds	HRH4
Linezolid	binds	ALB
Methysergide	binds	HTR1B
L-Glutamine	binds	GLUL
Zinc	binds	APP
Lovastatin	binds	SLCO1B3
Calcium citrate	binds	CALR
Fenofibric acid	binds	PPARG
Ampicillin	binds	SLC16A1
Flavin mononucleotide	binds	HAO2
Ivermectin	binds	glc-1
Metyrosine	binds	TH
Tiludronic acid	binds	ALB
Zinc	binds	IGFALS
Tetraferric tricitrate decahydrate	binds	fhuD
Vinblastine	binds	TUBA1A
Vinblastine	binds	TUBB
Zinc acetate	binds	CPN1
Zinc acetate	binds	NME1
Levodopa	binds	SLC7A5
Omega-3-carboxylic acids	binds	ELOVL4
Imipramine	binds	ORM1
Tetraferric tricitrate decahydrate	binds	TF
Zinc sulfate, unspecified form	binds	ALDOA
Dextrothyroxine	binds	TPO
Zinc acetate	binds	CA1
Midazolam	binds	ADORA2A
Cocarboxylase	binds	pox5
Zinc	binds	S100A9
Zinc	binds	S100A2
Sertraline	binds	SLC6A3
Cabergoline	binds	ADRA1B
Ferrous gluconate	binds	TFRC
Tretinoin	binds	LCN1
Zinc sulfate, unspecified form	binds	KNG1
Olsalazine	binds	SLC20A1
Ondansetron	binds	OPRM1
Flavin mononucleotide	binds	BLVRB
Zinc acetate	binds	DCD
Ziprasidone	binds	ORM1
Zinc	binds	CFI
Pentoxifylline	binds	TNF
Fludarabine	binds	SLC28A3
Flavin mononucleotide	binds	fprA
Insulin pork	binds	IGF1R
Zinc	binds	ITIH4
Loxapine	binds	SLC6A3
