head,relation,tail,weight,source,head_type,tail_type
(S)-Isocorydine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
(S)-Isocorydine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Xanthoxylin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Xanthoxylin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Canrenone,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Tetrahydrocortisone,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Tetrahydrocortisone,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Sennoside A,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Sennoside A,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
4-Aminohippuric acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
4-Aminohippuric acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Lignans,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Lignans,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Lignans,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Lignans,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Lignans,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Isoniazid,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Isoniazid,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Isoniazid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Isoniazid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
(S)-Naringenin,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
(S)-Naringenin,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
(S)-Naringenin,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
(S)-Naringenin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
(S)-Naringenin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Adenosine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Adenosine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Caffeic acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
trans-Caffeic acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
cis-Caffeic acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
trans-caffeate,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Caffeic acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
trans-Caffeic acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
cis-Caffeic acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
trans-caffeate,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
"5,7-Dimethylchrysin",inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
"5,7-Dimethylchrysin",inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Phloretin,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Phloretin,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Phloretin,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Phloretin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Phloretin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Myricetin,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Myricetin 3-digalactoside,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Myricetin,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Myricetin 3-digalactoside,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Myricetin,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Myricetin 3-digalactoside,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Myricetin,inhibits,Cytochrome P450 1A1,1.0,chembl36,COMPOUND,TARGET
Myricetin 3-digalactoside,inhibits,Cytochrome P450 1A1,1.0,chembl36,COMPOUND,TARGET
Myricetin,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
Myricetin 3-digalactoside,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
trans-resveratrol,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
trans-resveratrol,inhibits,Cytochrome P450 1A2,1.0,chembl36,COMPOUND,TARGET
trans-resveratrol,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
trans-resveratrol,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
trans-resveratrol,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
trans-resveratrol,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
trans-resveratrol,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
Naphthalen-1-ol,inhibits,Cytochrome P450 1A2,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Cytochrome P450 1A1,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Cytochrome P450 1A2,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Isopimpinellin,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
"Epigallocatechin 3,5-digallate",inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
"Epigallocatechin 3,5-digallate",inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Hypoxanthine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Hypoxanthine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Topiramate,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Topiramate,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
4-Phenylbutanoic acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
4-Phenylbutanoic acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
